Customer ID,Age,Age Group,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
26,18,18-25,Male,Hoodie,Clothing,$25.00 ,Texas,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually
27,38,36-45,Male,Jewelry,Accessories,$20.00 ,Nevada,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually
28,56,56-65,Male,Shorts,Clothing,$56.00 ,Kentucky,Cyan,Summer,5,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months
29,54,46-55,Male,Handbag,Accessories,$94.00 ,North Carolina,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months
30,31,26-35,Male,Dress,Clothing,$48.00 ,Wyoming,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly
31,57,56-65,Male,Jewelry,Accessories,$31.00 ,North Carolina,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly
32,33,26-35,Male,Dress,Clothing,$79.00 ,West Virginia,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly
33,36,36-45,Male,Jacket,Outerwear,$67.00 ,Kansas,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually
34,54,46-55,Male,Pants,Clothing,$38.00 ,Colorado,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly
35,36,36-45,Male,T-shirt,Clothing,$91.00 ,North Dakota,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly
36,54,46-55,Male,Blouse,Clothing,$33.00 ,Massachusetts,Cyan,Summer,4,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly
37,35,26-35,Male,T-shirt,Clothing,$69.00 ,Illinois,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly
38,35,26-35,Male,Jeans,Clothing,$45.00 ,Indiana,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly
39,29,26-35,Male,Dress,Clothing,$37.00 ,Florida,Red,Winter,3.7,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months
40,70,65+,Male,Pants,Clothing,$60.00 ,Arizona,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly
41,69,65+,Male,Handbag,Accessories,$76.00 ,Louisiana,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly
42,67,65+,Male,Scarf,Accessories,$39.00 ,Alaska,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually
43,20,18-25,Male,Coat,Outerwear,$100.00 ,Tennessee,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually
44,25,18-25,Male,Scarf,Accessories,$69.00 ,Ohio,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly
45,39,36-45,Male,Hat,Accessories,$53.00 ,Kentucky,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly
46,50,46-55,Male,Socks,Clothing,$21.00 ,Tennessee,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually
47,57,56-65,Male,Shirt,Clothing,$43.00 ,California,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly
48,55,46-55,Male,Jewelry,Accessories,$54.00 ,Montana,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly
49,42,36-45,Male,Shirt,Clothing,$55.00 ,Nevada,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly
50,68,65+,Male,Hoodie,Clothing,$30.00 ,New Jersey,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly
51,49,46-55,Male,Blouse,Clothing,$28.00 ,Maryland,Red,Spring,3.7,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly
52,59,56-65,Male,Skirt,Clothing,$59.00 ,Vermont,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly
53,42,36-45,Male,T-shirt,Clothing,$20.00 ,Alaska,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly
54,29,26-35,Male,Skirt,Clothing,$24.00 ,Mississippi,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly
55,47,46-55,Male,Coat,Outerwear,$94.00 ,New Mexico,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly
56,40,36-45,Male,Jacket,Outerwear,$28.00 ,South Carolina,Lavender,Winter,3,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually
57,41,36-45,Male,Backpack,Accessories,$73.00 ,Mississippi,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly
58,21,18-25,Male,Coat,Outerwear,$64.00 ,West Virginia,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly
59,69,65+,Male,Hoodie,Clothing,$54.00 ,Missouri,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly
60,63,56-65,Male,Belt,Accessories,$79.00 ,Louisiana,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly
61,50,46-55,Male,Sweater,Clothing,$37.00 ,Idaho,Brown,Summer,4,Yes,Express,Yes,Yes,17,Cash,Weekly
62,55,46-55,Male,Scarf,Accessories,$68.00 ,Texas,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months
63,30,26-35,Male,Sneakers,Footwear,$21.00 ,Mississippi,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly
64,33,26-35,Male,Sunglasses,Accessories,$79.00 ,Arizona,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly
65,65,56-65,Male,Boots,Footwear,$83.00 ,Alabama,Green,Fall,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Fortnightly
66,65,56-65,Male,Backpack,Accessories,$36.00 ,New Jersey,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months
67,31,26-35,Male,Blouse,Clothing,$94.00 ,Pennsylvania,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months
68,45,36-45,Male,Coat,Outerwear,$33.00 ,Connecticut,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly
69,57,56-65,Male,Handbag,Accessories,$46.00 ,Utah,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Every 3 Months
70,48,46-55,Male,Belt,Accessories,$70.00 ,Tennessee,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly
71,22,18-25,Male,Belt,Accessories,$29.00 ,Alabama,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months
72,36,36-45,Male,Dress,Clothing,$48.00 ,Virginia,Gold,Summer,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually
73,18,18-25,Male,Dress,Clothing,$26.00 ,Georgia,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months
74,48,46-55,Male,Pants,Clothing,$85.00 ,Hawaii,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly
75,49,46-55,Male,Gloves,Accessories,$58.00 ,Indiana,Violet,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly
76,64,56-65,Male,Scarf,Accessories,$85.00 ,Utah,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually
77,50,46-55,Male,Hat,Accessories,$43.00 ,Delaware,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly
78,22,18-25,Male,Dress,Clothing,$53.00 ,Delaware,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly
79,50,46-55,Male,Skirt,Clothing,$91.00 ,Nebraska,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly
80,38,36-45,Male,Jacket,Outerwear,$96.00 ,Iowa,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months
81,19,18-25,Male,Sandals,Footwear,$72.00 ,New York,Blue,Summer,3.3,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months
82,67,65+,Male,Shoes,Footwear,$96.00 ,Virginia,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36,Credit Card,Every 3 Months
83,19,18-25,Male,Pants,Clothing,$28.00 ,Georgia,Olive,Spring,4,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months
84,36,36-45,Male,Dress,Clothing,$40.00 ,Texas,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,Weekly
85,52,46-55,Male,Coat,Outerwear,$32.00 ,Arizona,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months
86,53,46-55,Male,Sunglasses,Accessories,$95.00 ,New Mexico,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly
87,24,18-25,Male,Hoodie,Clothing,$41.00 ,Nevada,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly
88,52,46-55,Male,Shoes,Footwear,$53.00 ,Ohio,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly
89,33,26-35,Male,T-shirt,Clothing,$47.00 ,Wyoming,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly
90,47,46-55,Male,Jacket,Outerwear,$83.00 ,California,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly
91,25,18-25,Male,Hat,Accessories,$48.00 ,South Carolina,Violet,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly
92,44,36-45,Male,Scarf,Accessories,$99.00 ,South Carolina,Green,Winter,4.6,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months
93,61,56-65,Male,Jacket,Outerwear,$87.00 ,Texas,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months
94,37,36-45,Male,Sweater,Clothing,$62.00 ,Florida,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly
95,58,56-65,Male,Skirt,Clothing,$76.00 ,Nevada,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,Weekly
96,37,36-45,Male,Sneakers,Footwear,$100.00 ,Missouri,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,Monthly
97,32,26-35,Male,Gloves,Accessories,$73.00 ,Delaware,Gold,Spring,3.6,Yes,Express,Yes,Yes,43,Venmo,Every 3 Months
98,21,18-25,Male,Shoes,Footwear,$92.00 ,Virginia,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,Annually
99,20,18-25,Male,Jeans,Clothing,$67.00 ,New York,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Annually
100,26,26-35,Male,Hoodie,Clothing,$40.00 ,Missouri,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly
101,62,56-65,Male,Sunglasses,Accessories,$98.00 ,South Dakota,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31,Cash,Fortnightly
102,27,26-35,Male,Coat,Outerwear,$85.00 ,North Dakota,White,Spring,4.6,Yes,Express,Yes,Yes,50,Credit Card,Bi-Weekly
103,51,46-55,Male,Socks,Clothing,$67.00 ,Oklahoma,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Quarterly
104,54,46-55,Male,Boots,Footwear,$89.00 ,West Virginia,Red,Winter,4,Yes,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly
105,55,46-55,Male,Sunglasses,Accessories,$24.00 ,New Hampshire,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1,PayPal,Monthly
106,69,65+,Male,Backpack,Accessories,$96.00 ,New York,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Annually
107,64,56-65,Male,Jacket,Outerwear,$35.00 ,Minnesota,White,Summer,3.7,Yes,Standard,Yes,Yes,31,Credit Card,Monthly
108,28,26-35,Male,Sneakers,Footwear,$67.00 ,Maryland,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,46,PayPal,Fortnightly
109,70,65+,Male,Socks,Clothing,$79.00 ,Montana,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly
110,58,56-65,Male,T-shirt,Clothing,$85.00 ,Alabama,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly
111,56,56-65,Male,Backpack,Accessories,$26.00 ,New York,Black,Summer,4,Yes,Standard,Yes,Yes,26,Venmo,Fortnightly
112,26,26-35,Male,Belt,Accessories,$75.00 ,Massachusetts,Purple,Summer,5,Yes,Free Shipping,Yes,Yes,9,Credit Card,Annually
113,37,36-45,Male,Gloves,Accessories,$65.00 ,Florida,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly
114,44,36-45,Male,Hat,Accessories,$54.00 ,New Jersey,Maroon,Winter,3.1,Yes,Next Day Air,Yes,Yes,20,PayPal,Quarterly
115,70,65+,Male,Coat,Outerwear,$95.00 ,Massachusetts,Blue,Summer,3.7,Yes,Store Pickup,Yes,Yes,9,Cash,Weekly
116,53,46-55,Male,Skirt,Clothing,$94.00 ,Wyoming,Gray,Spring,3.8,Yes,Standard,Yes,Yes,48,Debit Card,Every 3 Months
117,55,46-55,Male,Shoes,Footwear,$86.00 ,Virginia,Blue,Spring,3.4,Yes,Free Shipping,Yes,Yes,12,Venmo,Annually
118,50,46-55,Male,Sandals,Footwear,$32.00 ,South Dakota,Yellow,Summer,4.6,Yes,Express,Yes,Yes,29,Cash,Fortnightly
119,50,46-55,Male,Sweater,Clothing,$45.00 ,Kentucky,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly
120,38,36-45,Male,Coat,Outerwear,$76.00 ,Wyoming,Orange,Fall,4.3,Yes,Express,Yes,Yes,44,Cash,Annually
121,64,56-65,Male,Hat,Accessories,$84.00 ,West Virginia,Red,Summer,4,Yes,Express,Yes,Yes,32,Bank Transfer,Annually
122,19,18-25,Male,Shorts,Clothing,$72.00 ,Virginia,Olive,Winter,4.2,Yes,Standard,Yes,Yes,11,Cash,Fortnightly
123,40,36-45,Male,Backpack,Accessories,$40.00 ,Washington,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly
124,57,56-65,Male,Sweater,Clothing,$89.00 ,Louisiana,Brown,Fall,3.1,Yes,Free Shipping,Yes,Yes,46,Cash,Weekly
125,44,36-45,Male,Sweater,Clothing,$86.00 ,Nevada,Gray,Spring,3.1,Yes,Next Day Air,Yes,Yes,50,PayPal,Annually
126,49,46-55,Male,Shorts,Clothing,$54.00 ,California,Indigo,Winter,3.6,Yes,Next Day Air,Yes,Yes,45,Venmo,Every 3 Months
127,43,36-45,Male,Shorts,Clothing,$36.00 ,Mississippi,Pink,Spring,3.9,Yes,Store Pickup,Yes,Yes,48,Cash,Every 3 Months
128,24,18-25,Male,Sweater,Clothing,$89.00 ,Mississippi,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,26,Credit Card,Weekly
129,20,18-25,Male,Scarf,Accessories,$32.00 ,California,Gold,Spring,4.7,Yes,Standard,Yes,Yes,21,Credit Card,Fortnightly
130,24,18-25,Male,Dress,Clothing,$67.00 ,Pennsylvania,Olive,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,49,PayPal,Bi-Weekly
131,44,36-45,Male,Scarf,Accessories,$39.00 ,Kentucky,Violet,Fall,3.7,Yes,Next Day Air,Yes,Yes,13,PayPal,Fortnightly
132,28,26-35,Male,Skirt,Clothing,$29.00 ,Maine,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,46,Credit Card,Weekly
133,30,26-35,Male,Backpack,Accessories,$58.00 ,New Mexico,Orange,Fall,4.7,Yes,2-Day Shipping,Yes,Yes,42,PayPal,Weekly
134,52,46-55,Male,Sweater,Clothing,$65.00 ,Montana,Violet,Winter,2.5,Yes,Next Day Air,Yes,Yes,25,Venmo,Annually
135,43,36-45,Male,Hat,Accessories,$94.00 ,Texas,Gray,Fall,4.9,Yes,Store Pickup,Yes,Yes,25,Cash,Monthly
136,43,36-45,Male,Sandals,Footwear,$81.00 ,Kansas,Purple,Fall,4.1,Yes,Express,Yes,Yes,12,PayPal,Quarterly
137,39,36-45,Male,Blouse,Clothing,$86.00 ,South Carolina,White,Winter,3.3,Yes,Free Shipping,Yes,Yes,4,Debit Card,Quarterly
138,68,65+,Male,Sneakers,Footwear,$43.00 ,Colorado,Turquoise,Spring,4.7,Yes,Free Shipping,Yes,Yes,38,PayPal,Weekly
139,68,65+,Male,Skirt,Clothing,$29.00 ,Georgia,Maroon,Winter,4.4,Yes,Store Pickup,Yes,Yes,42,Bank Transfer,Weekly
140,49,46-55,Male,Coat,Outerwear,$95.00 ,Florida,White,Fall,3.8,Yes,Store Pickup,Yes,Yes,30,Venmo,Annually
141,63,56-65,Male,Shirt,Clothing,$28.00 ,North Carolina,Yellow,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Weekly
142,56,56-65,Male,Gloves,Accessories,$46.00 ,Virginia,Turquoise,Fall,4.9,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly
143,37,36-45,Male,Jacket,Outerwear,$58.00 ,Nebraska,Violet,Fall,3.1,Yes,Free Shipping,Yes,Yes,33,Credit Card,Fortnightly
144,30,26-35,Male,Coat,Outerwear,$48.00 ,Missouri,Beige,Fall,2.7,Yes,Store Pickup,Yes,Yes,25,PayPal,Quarterly
145,19,18-25,Male,Shoes,Footwear,$43.00 ,New Jersey,Silver,Fall,3.2,Yes,Express,Yes,Yes,25,Cash,Monthly
146,24,18-25,Male,Jewelry,Accessories,$95.00 ,Missouri,Teal,Fall,4.5,Yes,Standard,Yes,Yes,44,Debit Card,Quarterly
147,52,46-55,Male,Skirt,Clothing,$30.00 ,Colorado,Black,Fall,4,Yes,Standard,Yes,Yes,21,Venmo,Fortnightly
148,63,56-65,Male,Shoes,Footwear,$64.00 ,Idaho,Purple,Summer,3.5,Yes,2-Day Shipping,Yes,Yes,31,Bank Transfer,Fortnightly
149,37,36-45,Male,Gloves,Accessories,$90.00 ,Wyoming,Gray,Fall,2.6,Yes,Store Pickup,Yes,Yes,47,Debit Card,Annually
150,38,36-45,Male,Pants,Clothing,$76.00 ,Delaware,White,Summer,3.2,Yes,Free Shipping,Yes,Yes,14,PayPal,Monthly
151,35,26-35,Male,Boots,Footwear,$96.00 ,California,Cyan,Fall,4.9,Yes,Standard,Yes,Yes,17,Debit Card,Every 3 Months
152,28,26-35,Male,Sunglasses,Accessories,$47.00 ,North Dakota,Turquoise,Fall,4.5,Yes,Next Day Air,Yes,Yes,3,Venmo,Annually
153,30,26-35,Male,Shirt,Clothing,$85.00 ,South Carolina,Brown,Summer,4.3,Yes,Express,Yes,Yes,42,Venmo,Annually
154,69,65+,Male,Hoodie,Clothing,$55.00 ,North Carolina,Maroon,Winter,3.2,Yes,Standard,Yes,Yes,22,Debit Card,Annually
155,41,36-45,Male,Dress,Clothing,$98.00 ,Oklahoma,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,21,Venmo,Quarterly
156,63,56-65,Male,Socks,Clothing,$77.00 ,Maine,Olive,Spring,4.3,Yes,Free Shipping,Yes,Yes,21,Bank Transfer,Quarterly
157,35,26-35,Male,Shorts,Clothing,$26.00 ,Missouri,Lavender,Fall,4,Yes,Standard,Yes,Yes,40,Debit Card,Annually
158,36,36-45,Male,Hat,Accessories,$68.00 ,Vermont,Yellow,Fall,3,Yes,Next Day Air,Yes,Yes,1,Bank Transfer,Fortnightly
159,25,18-25,Male,Shirt,Clothing,$73.00 ,Connecticut,Teal,Fall,4.1,Yes,Standard,Yes,Yes,50,Bank Transfer,Monthly
160,58,56-65,Male,Gloves,Accessories,$27.00 ,New Hampshire,Charcoal,Fall,3.8,Yes,Store Pickup,Yes,Yes,39,Bank Transfer,Every 3 Months
161,27,26-35,Male,Gloves,Accessories,$23.00 ,Texas,Orange,Summer,4.6,Yes,Free Shipping,Yes,Yes,34,Venmo,Monthly
162,65,56-65,Male,Backpack,Accessories,$49.00 ,North Dakota,Olive,Fall,3,Yes,Express,Yes,Yes,29,Venmo,Fortnightly
163,54,46-55,Male,Sunglasses,Accessories,$74.00 ,California,Turquoise,Summer,3,Yes,Store Pickup,Yes,Yes,31,PayPal,Bi-Weekly
164,54,46-55,Male,Skirt,Clothing,$67.00 ,Virginia,Purple,Summer,3.4,Yes,Standard,Yes,Yes,8,Debit Card,Weekly
165,59,56-65,Male,Handbag,Accessories,$65.00 ,Delaware,Purple,Spring,2.6,Yes,Free Shipping,Yes,Yes,5,Credit Card,Fortnightly
166,42,36-45,Male,Handbag,Accessories,$60.00 ,Kentucky,Yellow,Winter,2.8,Yes,Store Pickup,Yes,Yes,7,Cash,Monthly
167,46,46-55,Male,Sneakers,Footwear,$31.00 ,Delaware,Indigo,Fall,4,Yes,Store Pickup,Yes,Yes,30,Cash,Monthly
168,33,26-35,Male,Gloves,Accessories,$27.00 ,Arkansas,Green,Fall,4,Yes,Express,Yes,Yes,14,Credit Card,Every 3 Months
169,34,26-35,Male,Shoes,Footwear,$80.00 ,Louisiana,Magenta,Summer,3,Yes,Express,Yes,Yes,5,Cash,Fortnightly
170,27,26-35,Male,Jacket,Outerwear,$30.00 ,Nevada,Gold,Summer,3.3,Yes,Standard,Yes,Yes,3,PayPal,Every 3 Months
171,52,46-55,Male,Shirt,Clothing,$25.00 ,Wyoming,Maroon,Fall,2.6,Yes,Store Pickup,Yes,Yes,46,Venmo,Bi-Weekly
172,29,26-35,Male,Shorts,Clothing,$35.00 ,Virginia,Blue,Summer,3.6,Yes,Store Pickup,Yes,Yes,4,Credit Card,Weekly
173,54,46-55,Male,Jewelry,Accessories,$67.00 ,Nebraska,Violet,Summer,3.9,Yes,Next Day Air,Yes,Yes,42,Credit Card,Bi-Weekly
174,25,18-25,Male,Hat,Accessories,$46.00 ,Hawaii,Turquoise,Fall,3.4,Yes,Standard,Yes,Yes,30,Cash,Annually
175,41,36-45,Male,Shoes,Footwear,$35.00 ,Vermont,Brown,Winter,3.5,Yes,Express,Yes,Yes,37,Venmo,Annually
176,53,46-55,Male,Coat,Outerwear,$86.00 ,Oklahoma,Violet,Fall,2.8,Yes,Next Day Air,Yes,Yes,2,Bank Transfer,Annually
177,53,46-55,Male,Backpack,Accessories,$81.00 ,New Hampshire,Black,Spring,2.7,Yes,Next Day Air,Yes,Yes,30,Credit Card,Quarterly
178,21,18-25,Male,Hoodie,Clothing,$42.00 ,Kansas,Magenta,Fall,3.7,Yes,Next Day Air,Yes,Yes,47,Bank Transfer,Monthly
